id,source,sid,period,year,frequency,currency,total_revenue,gross_profit,net_income,basic_eps,norm_ebitda,net_profit,net_profit_growth,eps_growth,dividend_per_share,created_date,updated_date
63,aastocks,0006.HK,2017/12,2017,annual,HKD,,,,3.9,,8319000000.0,29.64,29.57,16.3,,
64,aastocks,0006.HK,2018/12,2018,annual,HKD,,,,3.58,,7636000000.0,-8.21,-8.21,2.8,,
65,aastocks,0006.HK,2019/12,2019,annual,HKD,,,,3.34,,7131000000.0,-6.61,-6.70,2.8,,
66,aastocks,0006.HK,2016/06,2016,quarterly,HKD,,,,1.63,,3476000000.0,7.38,7.24,0.7,,
67,aastocks,0006.HK,2017/06,2017,quarterly,HKD,,,,1.89,,4024000000.0,15.77,15.95,8.27,,
68,aastocks,0006.HK,2018/06,2018,quarterly,HKD,,,,1.93,,4120000000.0,2.39,2.12,0.77,,
69,aastocks,0006.HK,2019/06,2019,quarterly,HKD,,,,1.78,,3791000000.0,-7.99,-7.77,0.77,,
70,aastocks,0006.HK,2020/06,2020,quarterly,HKD,,,,1.06,,2262000000.0,-40.33,-40.45,0.77,,
71,aastocks,0007.HK,2015/12,2015,annual,HKD,,,,-0.0225,,-36000000.0,3.38,9.64,0.0,,
72,aastocks,0007.HK,2016/12,2016,annual,HKD,,,,-0.0026,,-5000000.0,87.33,88.44,0.0,,
73,aastocks,0007.HK,2017/12,2017,annual,HKD,,,,0.0046,,12000000.0,-,-,0.0,,
74,aastocks,0007.HK,2018/12,2018,annual,HKD,,,,0.0455,,160000000.0,1.27K,889.13,0.0,,
75,aastocks,0007.HK,2019/12,2019,annual,HKD,,,,0.1657,,663000000.0,314.19,264.18,0.0,,
76,aastocks,0007.HK,2016/06,2016,quarterly,HKD,,,,-0.0095,,-16000000.0,-,-,0.0,,
77,aastocks,0007.HK,2017/06,2017,quarterly,HKD,,,,0.043,,109000000.0,-,-,0.0,,
78,aastocks,0007.HK,2018/06,2018,quarterly,HKD,,,,1.082,,3272000000.0,2.90K,2.42K,0.0,,
79,aastocks,0007.HK,2019/06,2019,quarterly,HKD,,,,0.035,,142000000.0,-95.67,-96.77,0.0,,
80,aastocks,0007.HK,2020/06,2020,quarterly,HKD,,,,0.011,,42000000.0,-70.05,-68.57,0.0,,
81,aastocks,0008.HK,2016/12,2016,annual,HKD,,,,0.2679,,2051000000.0,-10.63,-12.39,0.2833,,
82,aastocks,0008.HK,2017/12,2017,annual,HKD,,,,0.2645,,2038000000.0,-0.63,-1.27,0.2975,,
83,aastocks,0008.HK,2018/12,2018,annual,HKD,,,,0.1163,,897000000.0,-55.99,-56.03,0.3124,,
84,aastocks,0008.HK,2019/12,2019,annual,HKD,,,,0.0883,,681000000.0,-24.08,-24.08,0.3218,,
85,aastocks,0008.HK,2020/12,2020,annual,HKD,,,,-0.1322,,-1020000000.0,-,-,0.3218,,
86,aastocks,0008.HK,2016/06,2016,quarterly,HKD,,,,0.114,,868000000.0,-18.88,-20.78,0.0816,,
87,aastocks,0008.HK,2017/06,2017,quarterly,HKD,,,,0.1498,,1154000000.0,32.95,31.40,0.0857,,
88,aastocks,0008.HK,2018/06,2018,quarterly,HKD,,,,0.024,,185000000.0,-83.97,-83.98,0.0891,,
89,aastocks,0008.HK,2019/06,2019,quarterly,HKD,,,,0.0211,,163000000.0,-11.89,-12.08,0.0918,,
90,aastocks,0008.HK,2020/06,2020,quarterly,HKD,,,,-0.0757,,-584000000.0,-,-,0.0918,,
91,aastocks,0009.HK,2015/12,2015,annual,HKD,,,,-0.4234,,-644000000.0,-261.47,-217.39,0.0,,
92,aastocks,0009.HK,2016/12,2016,annual,HKD,,,,-0.1454,,-329000000.0,48.92,65.66,0.0,,
93,aastocks,0009.HK,2017/12,2017,annual,HKD,,,,-0.1465,,-395000000.0,-20.29,-0.76,0.0,,
94,aastocks,0009.HK,2018/12,2018,annual,HKD,,,,-0.1084,,-354000000.0,10.46,26.01,0.0,,
95,aastocks,0009.HK,2019/12,2019,annual,HKD,,,,-0.081,,-289000000.0,18.39,25.28,0.0,,
96,aastocks,0009.HK,2016/06,2016,quarterly,HKD,,,,-0.0133,,-27000000.0,10.06,33.83,0.0,,
97,aastocks,0009.HK,2017/06,2017,quarterly,HKD,,,,-0.0894,,-221000000.0,-714.16,-572.18,0.0,,
98,aastocks,0009.HK,2018/06,2018,quarterly,HKD,,,,-0.0212,,-64000000.0,71.21,76.29,0.0,,
99,aastocks,0009.HK,2019/06,2019,quarterly,HKD,,,,-0.0178,,-63000000.0,1.49,16.04,0.0,,
100,aastocks,0009.HK,2020/06,2020,quarterly,HKD,,,,-0.0324,,-116000000.0,-84.62,-85.14,0.0,,
101,aastocks,0010.HK,2016/12,2016,annual,HKD,,,,2.73,,3713000000.0,15.63,15.19,0.8,,
102,aastocks,0010.HK,2017/12,2017,annual,HKD,,,,3.9,,5314000000.0,43.12,42.86,0.8,,
103,aastocks,0010.HK,2018/12,2018,annual,HKD,,,,3.88,,5285000000.0,-0.55,-0.51,0.8,,
104,aastocks,0010.HK,2019/12,2019,annual,HKD,,,,5.01,,6816000000.0,28.97,29.12,1.08,,
105,aastocks,0010.HK,2020/12,2020,annual,HKD,,,,-1.13,,-1541000000.0,-,-,0.82,,
106,aastocks,0010.HK,2016/06,2016,quarterly,HKD,,,,1.32,,1790000000.0,0.62,0.76,0.19,,
107,aastocks,0010.HK,2017/06,2017,quarterly,HKD,,,,1.76,,2396000000.0,33.85,33.33,0.19,,
108,aastocks,0010.HK,2018/06,2018,quarterly,HKD,,,,2.23,,3037000000.0,26.75,26.70,0.19,,
109,aastocks,0010.HK,2019/06,2019,quarterly,HKD,,,,2.72,,3709000000.0,22.13,21.97,0.19,,
110,aastocks,0010.HK,2020/06,2020,quarterly,HKD,,,,-1.17,,-1595000000.0,-,-,0.19,,
111,aastocks,0011.HK,2016/12,2016,annual,HKD,,,,8.3,,16212000000.0,-41.03,-41.63,6.1,,
112,aastocks,0011.HK,2017/12,2017,annual,HKD,,,,10.3,,20018000000.0,23.48,24.10,6.7,,
113,aastocks,0011.HK,2018/12,2018,annual,HKD,,,,12.48,,24211000000.0,20.95,21.17,7.5,,
114,aastocks,0011.HK,2019/12,2019,annual,HKD,,,,12.77,,24840000000.0,2.60,2.32,8.2,,
115,aastocks,0011.HK,2020/12,2020,annual,HKD,,,,8.36,,16687000000.0,-32.82,-34.53,5.5,,
116,aastocks,0011.HK,2016/06,2016,quarterly,HKD,,,,4.19,,8005000000.0,-60.07,-60.06,1.1,,
117,aastocks,0011.HK,2017/06,2017,quarterly,HKD,,,,5.15,,9838000000.0,22.90,22.91,1.2,,
118,aastocks,0011.HK,2018/06,2018,quarterly,HKD,,,,6.62,,12647000000.0,28.55,28.54,1.3,,
119,aastocks,0011.HK,2019/06,2019,quarterly,HKD,,,,6.98,,13656000000.0,7.98,5.44,1.4,,
120,aastocks,0011.HK,2020/06,2020,quarterly,HKD,,,,4.64,,9143000000.0,-33.05,-33.52,0.8,,
121,aastocks,0012.HK,2015/12,2015,annual,HKD,,,,5.87,,21326000000.0,27.30,14.87,1.45,,
122,aastocks,0012.HK,2016/12,2016,annual,HKD,,,,5.48,,21916000000.0,2.77,-6.64,1.55,,
123,aastocks,0012.HK,2017/12,2017,annual,HKD,,,,7.0,,30809000000.0,40.58,27.74,1.71,,
124,aastocks,0012.HK,2018/12,2018,annual,HKD,,,,6.44,,31157000000.0,1.13,-8.00,1.8,,
125,aastocks,0012.HK,2019/12,2019,annual,HKD,,,,3.51,,16994000000.0,-45.46,-45.50,1.8,,
126,aastocks,0012.HK,2016/06,2016,quarterly,HKD,,,,2.15,,8611000000.0,-12.54,-20.66,0.42,,
127,aastocks,0012.HK,2017/06,2017,quarterly,HKD,,,,2.97,,13073000000.0,51.82,38.14,0.48,,
128,aastocks,0012.HK,2018/06,2018,quarterly,HKD,,,,3.1,,15030000000.0,14.97,4.38,0.5,,
129,aastocks,0012.HK,2019/06,2019,quarterly,HKD,,,,1.55,,7515000000.0,-50.00,-50.00,0.5,,
130,aastocks,0012.HK,2020/06,2020,quarterly,HKD,,,,0.59,,2834000000.0,-62.29,-61.94,0.5,,
131,aastocks,0014.HK,2016/12,2016,annual,HKD,,,,1.1635,,1218000000.0,-58.04,-57.41,1.35,,
132,aastocks,0014.HK,2017/12,2017,annual,HKD,,,,3.4778,,3636000000.0,198.52,198.91,1.37,,
133,aastocks,0014.HK,2018/12,2018,annual,HKD,,,,5.7666,,6033000000.0,65.92,65.81,1.44,,
134,aastocks,0014.HK,2019/12,2019,annual,HKD,,,,4.63,,4845000000.0,-19.69,-19.71,1.44,,
135,aastocks,0014.HK,2020/12,2020,annual,HKD,,,,-2.44,,-2547000000.0,-,-,1.44,,
136,aastocks,0014.HK,2016/06,2016,quarterly,HKD,,,,0.8578,,899000000.0,-60.73,-60.13,0.26,,
137,aastocks,0014.HK,2017/06,2017,quarterly,HKD,,,,0.7136,,746000000.0,-17.02,-16.81,0.26,,
138,aastocks,0014.HK,2018/06,2018,quarterly,HKD,,,,2.8806,,3013000000.0,303.89,303.67,0.27,,
139,aastocks,0014.HK,2019/06,2019,quarterly,HKD,,,,2.66,,2783000000.0,-7.63,-7.66,0.27,,
140,aastocks,0014.HK,2020/06,2020,quarterly,HKD,,,,-2.52,,-2626000000.0,-,-,0.27,,
141,aastocks,0015.HK,2016/03,2016,annual,HKD,,,,0.4423,,772000000.0,474.34,474.42,0.02,,
142,aastocks,0015.HK,2017/03,2017,annual,HKD,,,,0.0807,,142000000.0,-81.68,-81.75,0.02,,
